framework	molecule	temperature_K	pressure_Pa	loading_mol_per_kg
Bhathia_01	R125	303.0	1039.301146	0.085792573
Bhathia_01	R125	303.0	1070.081339	0.087485654
Bhathia_01	R125	303.0	1101.773124	0.089210566
Bhathia_01	R125	303.0	1134.403502	0.090967845
Bhathia_01	R125	303.0	1168.000268	0.092758035
Bhathia_01	R125	303.0	1202.592045	0.094581683
Bhathia_01	R125	303.0	1238.208299	0.096439346
Bhathia_01	R125	303.0	1274.879374	0.098331585
Bhathia_01	R125	303.0	1312.636507	0.10025897
Bhathia_01	R125	303.0	1351.511865	0.102222074
Bhathia_01	R125	303.0	1391.538565	0.10422148
Bhathia_01	R125	303.0	1432.750705	0.106257777
Bhathia_01	R125	303.0	1475.183394	0.108331557
Bhathia_01	R125	303.0	1518.87278	0.110443422
Bhathia_01	R125	303.0	1563.856081	0.112593979
Bhathia_01	R125	303.0	1610.171618	0.114783841
Bhathia_01	R125	303.0	1657.858847	0.117013628
Bhathia_01	R125	303.0	1706.958393	0.119283966
Bhathia_01	R125	303.0	1757.512083	0.121595484
Bhathia_01	R125	303.0	1809.562982	0.123948823
Bhathia_01	R125	303.0	1863.155434	0.126344623
Bhathia_01	R125	303.0	1918.335093	0.128783536
Bhathia_01	R125	303.0	1975.148965	0.131266215
Bhathia_01	R125	303.0	2033.645451	0.13379332
Bhathia_01	R125	303.0	2093.874383	0.136365519
Bhathia_01	R125	303.0	2155.88707	0.138983481
Bhathia_01	R125	303.0	2219.736339	0.141647883
Bhathia_01	R125	303.0	2285.476583	0.144359407
Bhathia_01	R125	303.0	2353.163807	0.147118739
Bhathia_01	R125	303.0	2422.855671	0.14992657
Bhathia_01	R125	303.0	2494.611546	0.152783596
Bhathia_01	R125	303.0	2568.492561	0.155690518
Bhathia_01	R125	303.0	2644.561653	0.158648039
Bhathia_01	R125	303.0	2722.883626	0.16165687
Bhathia_01	R125	303.0	2803.525201	0.164717723
Bhathia_01	R125	303.0	2886.555077	0.167831315
Bhathia_01	R125	303.0	2972.043985	0.170998367
Bhathia_01	R125	303.0	3060.064753	0.174219601
Bhathia_01	R125	303.0	3150.692365	0.177495746
Bhathia_01	R125	303.0	3244.004027	0.180827532
Bhathia_01	R125	303.0	3340.079229	0.184215691
Bhathia_01	R125	303.0	3438.999817	0.187660961
Bhathia_01	R125	303.0	3540.850062	0.191164078
Bhathia_01	R125	303.0	3645.716727	0.194725784
Bhathia_01	R125	303.0	3753.689149	0.198346821
Bhathia_01	R125	303.0	3864.859308	0.202027932
Bhathia_01	R125	303.0	3979.32191	0.205769865
Bhathia_01	R125	303.0	4097.174463	0.209573366
Bhathia_01	R125	303.0	4218.517365	0.213439184
Bhathia_01	R125	303.0	4343.453988	0.217368067
Bhathia_01	R125	303.0	4472.090765	0.221360765
Bhathia_01	R125	303.0	4604.537278	0.225418028
Bhathia_01	R125	303.0	4740.90636	0.229540606
Bhathia_01	R125	303.0	4881.314181	0.233729249
Bhathia_01	R125	303.0	5025.880354	0.237984707
Bhathia_01	R125	303.0	5174.728033	0.242307729
Bhathia_01	R125	303.0	5327.984021	0.246699062
Bhathia_01	R125	303.0	5485.778875	0.251159454
Bhathia_01	R125	303.0	5648.247019	0.255689649
Bhathia_01	R125	303.0	5815.526859	0.260290393
Bhathia_01	R125	303.0	5987.760899	0.264962426
Bhathia_01	R125	303.0	6165.095863	0.26970649
Bhathia_01	R125	303.0	6347.682822	0.27452332
Bhathia_01	R125	303.0	6535.677321	0.279413653
Bhathia_01	R125	303.0	6729.23951	0.284378221
Bhathia_01	R125	303.0	6928.534283	0.289417753
Bhathia_01	R125	303.0	7133.731418	0.294532974
Bhathia_01	R125	303.0	7345.00572	0.299724608
Bhathia_01	R125	303.0	7562.537173	0.304993373
Bhathia_01	R125	303.0	7786.51109	0.310339984
Bhathia_01	R125	303.0	8017.118271	0.315765151
Bhathia_01	R125	303.0	8254.555171	0.321269583
Bhathia_01	R125	303.0	8499.024059	0.326853979
Bhathia_01	R125	303.0	8750.733196	0.33251904
Bhathia_01	R125	303.0	9009.897011	0.338265456
Bhathia_01	R125	303.0	9276.736285	0.344093916
Bhathia_01	R125	303.0	9551.478334	0.350005103
Bhathia_01	R125	303.0	9834.357209	0.355999693
Bhathia_01	R125	303.0	10125.61389	0.36207836
Bhathia_01	R125	303.0	10425.49651	0.368241769
Bhathia_01	R125	303.0	10734.26051	0.374490581
Bhathia_01	R125	303.0	11052.16895	0.380825452
Bhathia_01	R125	303.0	11379.49264	0.387247029
Bhathia_01	R125	303.0	11716.51043	0.393755955
Bhathia_01	R125	303.0	12063.50941	0.400352867
Bhathia_01	R125	303.0	12420.7852	0.407038395
Bhathia_01	R125	303.0	12788.64216	0.413813162
Bhathia_01	R125	303.0	13167.39366	0.420677783
Bhathia_01	R125	303.0	13557.36235	0.427632869
Bhathia_01	R125	303.0	13958.88045	0.434679021
Bhathia_01	R125	303.0	14372.29	0.441816835
Bhathia_01	R125	303.0	14797.94319	0.449046896
Bhathia_01	R125	303.0	15236.20263	0.456369784
Bhathia_01	R125	303.0	15687.44167	0.463786069
Bhathia_01	R125	303.0	16152.0447	0.471296313
Bhathia_01	R125	303.0	16630.40754	0.478901068
Bhathia_01	R125	303.0	17122.93768	0.486600877
Bhathia_01	R125	303.0	17630.05472	0.494396273
Bhathia_01	R125	303.0	18152.19065	0.502287779
Bhathia_01	R125	303.0	18689.79028	0.510275903
Bhathia_01	R125	303.0	19243.3116	0.518361146
Bhathia_01	R125	303.0	19813.22614	0.526543991
Bhathia_01	R125	303.0	20400.0194	0.534824912
Bhathia_01	R125	303.0	21004.19127	0.543204362
Bhathia_01	R125	303.0	21626.25644	0.551682784
Bhathia_01	R125	303.0	22266.74485	0.560260599
Bhathia_01	R125	303.0	22926.20211	0.56893821
Bhathia_01	R125	303.0	23605.19002	0.577716001
Bhathia_01	R125	303.0	24304.28699	0.586594332
Bhathia_01	R125	303.0	25024.08859	0.59557354
Bhathia_01	R125	303.0	25765.20801	0.604653934
Bhathia_01	R125	303.0	26528.27659	0.613835796
Bhathia_01	R125	303.0	27313.9444	0.623119375
Bhathia_01	R125	303.0	28122.88074	0.632504888
